region,count
926,1
1053,1
641,1
1080,4
958,2
718,1
974,3
1030,1
516,5
533,10
654,5
833,4
892,1
18,3
717,2
563,1
600,1
1232,1
134,2
764,4
25,1
1279,1
424,1
603,2
1109,2
1026,13
878,4
1073,1
555,1
492,21
978,1
530,2
1270,41
826,2
669,1
372,1810
456,1
564,1
226,3
768,3
583,1
711,1
677,1
895,1
781,2
622,15
668,5
749,1
725,1
837,11
453,476
423,2
1224,2
245,5
151,5
806,1
1226,1
1212,1
1079,6
1159,77
1027,4
944,2
1225,1
1211,1
244,1
1059,1
413,225
1012,4
1160,3
590,1
722,1
510,1
194,7
279,1
662,5
1086,1
1204,1
1078,2
604,1
1047,1
971,1
1000,1
796,2
1205,1
17,15
593,1
852,1
578,6
251,2
828,1
1091,1
144,1
647,1
586,31
999,2
554,3
688,824
804,46
467,68
987,4
587,131
946,3
76,6
93,4
697,69
925,2
166,59
51,3
546,3
744,38
1112,16
154,120
474,385
572,33
278,76
595,212
294,3
610,1
402,1
951,7
438,863
694,46
959,807
952,1
528,1
497,48
986,12
646,2
655,1
63,4
1005,12
